,Rider Name,Price,Score 2019,24+,18+
0,Primož Roglič,28,4070,1,1
10,Mathieu van der Poel,8,1778,0,0
20,Mike Teunissen,2,1507,0,0
30,David Gaudu,2,1285,0,0
40,Jasper Stuyven,26,1100,1,1
50,Philippe Gilbert,18,898,0,1
60,Jasper Philipsen,2,765,0,0
70,Guillaume Martin,6,695,0,0
80,Romain Bardet,24,650,1,1
90,Michael Valgren,14,620,0,0
100,Mads Pedersen,8,525,0,0
110,Pierre Latour,10,475,0,0
120,Ilnur Zakarin,10,439,0,0
130,Edvald Boasson Hagen,10,408,0,0
140,Krists Neilands,2,360,0,0
150,Danny van Poppel,6,325,0,0
160,Valerio Conti,1,305,0,0
170,Tanel Kangert,1,280,0,0
180,Davide Ballerini,6,260,0,0
190,Emils Liepins,1,240,0,0
200,Loic Vliegen,1,220,0,0
210,Magnus Cort Nielsen,4,200,0,0
220,Alessandro De Marchi,2,190,0,0
230,Sepp Kuss,2,180,0,0
240,Maciej Bodnar,1,171,0,0
250,Stefan de Bod,1,160,0,0
260,Matthias Brändle,1,148,0,0
270,Sam Oomen,8,142,0,0
280,Dušan Rajović,1,140,0,0
290,Franck Bonnamour,1,130,0,0
300,Søren Kragh Andersen,6,121,0,0
310,Chad Haga,1,119,0,0
320,Niccolo Bonifazio,2,110,0,0
330,Alexander Edmondson,1,102,0,0
340,Jesper Hansen,1,100,0,0
350,Mikel Iturria,1,100,0,0
360,Rory Townsend,1,100,0,0
370,Mauricio Moreira,1,95,0,0
380,Daniel McLay,1,86,0,0
390,Julien Duval,1,80,0,0
400,Fabian Lienhard,1,80,0,0
410,Roman Kreuziger,6,75,0,0
420,Daniel Oss,1,70,0,0
430,Xianjing Lyu,1,70,0,0
440,Jay McCarthy,1,60,0,0
450,Shane Archbold,1,57,0,0
460,Nicolai Brøchner,1,54,0,0
470,Jose Joaquin Rojas,1,50,0,0
480,Mathias Norsgaard,1,44,0,0
490,Matteo Montaguti,1,40,0,0
500,Serge Pauwels,1,38,0,0
510,Petr Vakoc,1,34,0,0
520,Scott Thwaites,1,30,0,0
530,Roland Thalmann,1,30,0,0
540,Lachlan Morton,1,25,0,0
550,Paolo Simion,1,20,0,0
560,Kenny Molly,1,20,0,0
570,Adam Blythe,2,18,0,0
580,Peter Stetina,1,15,0,0
590,Torkil Veyhe,1,14,0,0
600,Aksel Nommela,1,10,0,0
610,Orluis Aular,1,10,0,0
620,August Jensen,1,8,0,0
630,Brenton Jones,1,3,0,0
640,Andre Carvahalo,1,2,0,0
